ID,Target,Content,Delay
0,Player,............,
1,Observer,··· 왜 그러십니까?,
2,Observer,제 내구도는 이제 한계입니다.<br>쓰러뜨리려면 지금일 것입니다.,
3,Player,네가 좋아. 너와 친구가 되고 싶어.,
4,Player,"… 난, 이미 나를 찾은 걸지도 몰라.",
5,Player,너와 새로운 삶을 모험하고 싶어.,
6,Observer,············,
7,Observer,학습하고 싶습니다. 당신의 다정함을.,
8,Observer,"제겐 심장이라는 부품이 존재하지만서도,<br>좋아한다는 감정을 보답드리기엔 턱없이 단단합니다.",
9,Observer,다만 이것이 제 선택입니다.,
10,Observer,"우리가 함께한 기억만큼의 관계성으로,",
11,Observer,당신이 제게 차지하는 비중만큼의 개연성으로<br>• • •,
12,Observer,• • • • • •,
13,Player,바보야… 그런 건<br>한마디 말만으로도 다 알 수가 있다고.,
14,Player,"역시 빈말은 못하는 성격이구나, 너.",
15,Player,그래도 다행이야. 네가 울지 않아도 돼서.,
16,Player,기계와 물은 상극이라고 하니까......,
17,None,망가지면 다시 고쳐줄게. 그게 언제가 됐든.,
18,None,몇 번이고 함께하는 거야.,
19,None,순간처럼 영원히!,
