ID,Target,Content,Delay
0,Player,"와, 문이 엄청 크잖아!",
1,Player,여기가 출구인 건가?<br>드디어 밖으로 나갈 수 있겠어…!,
2,Player,…... 뭐 하는 거야?,
3,Observer,"죄송합니다만, 이 앞으로는 지나가실 수 없습니다.",
4,Observer,연구소의 실험체들은<br>원칙적으로 탈출을 금하고 있습니다.,
5,Player,............,
6,Player,우리 같이 도망가자. 응?,
7,Player,너도 여기서 갇혀만 지내긴 싫을 거 아냐.,
8,Player,"나는 네가 마음에 들었는데, 너는 아니야?",
9,Observer,저는 인공지능입니다.<br>감상적인 대답은 들려드리기 어렵습니다.,
10,Observer,"덧붙여,<br>누군가에게 쉽게 정을 주는 것은<br>그다지 좋은 습관이 아닙니다.",
11,Player,쉽게 정을 주는 게 뭐가 나빠?,
12,Player,사소한 계기라도 충분히<br>마음이 갈 수 있는 거잖아.,
13,Player,"나도 너한테, 너도 나한테.",
14,Observer,············,
15,Observer,죄송합니다.,
16,Observer,<b>탈출 방지 시스템</b>을 가동합니다.,
17,Player,…...!!!!,
